choice,trial_all,trial,outcome,outcome_rel,sub,phase,transfer_trial,transfer_choice
2.0,3.0,3.0,-1.0,0.0,204,training,,
2.0,2.0,2.0,0.1,1.0,204,training,,
2.0,4.0,4.0,-0.1,0.0,204,training,,
1.0,4.0,4.0,-0.1,0.0,204,training,,
2.0,2.0,2.0,0.1,1.0,204,training,,
2.0,2.0,2.0,0.0,0.0,204,training,,
2.0,3.0,3.0,0.0,1.0,204,training,,
2.0,1.0,1.0,0.0,0.0,204,training,,
2.0,3.0,3.0,0.0,1.0,204,training,,
2.0,2.0,2.0,0.1,1.0,204,training,,
2.0,1.0,1.0,1.0,1.0,204,training,,
2.0,1.0,1.0,1.0,1.0,204,training,,
2.0,3.0,3.0,-1.0,0.0,204,training,,
2.0,4.0,4.0,0.0,1.0,204,training,,
2.0,1.0,1.0,1.0,1.0,204,training,,
2.0,2.0,2.0,0.1,1.0,204,training,,
2.0,3.0,3.0,0.0,1.0,204,training,,
2.0,2.0,2.0,0.1,1.0,204,training,,
2.0,1.0,1.0,0.0,0.0,204,training,,
2.0,3.0,3.0,0.0,1.0,204,training,,
2.0,1.0,1.0,1.0,1.0,204,training,,
2.0,2.0,2.0,0.1,1.0,204,training,,
2.0,2.0,2.0,0.0,0.0,204,training,,
2.0,4.0,4.0,-0.1,0.0,204,training,,
2.0,3.0,3.0,0.0,1.0,204,training,,
2.0,1.0,1.0,1.0,1.0,204,training,,
2.0,4.0,4.0,0.0,1.0,204,training,,
2.0,4.0,4.0,0.0,1.0,204,training,,
1.0,8.0,4.0,-0.1,0.0,204,training,,
2.0,7.0,3.0,0.0,1.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
1.0,7.0,3.0,-1.0,0.0,204,training,,
2.0,6.0,2.0,0.1,1.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
1.0,5.0,1.0,0.0,0.0,204,training,,
2.0,8.0,4.0,-0.1,0.0,204,training,,
1.0,6.0,2.0,0.1,1.0,204,training,,
2.0,7.0,3.0,-1.0,0.0,204,training,,
2.0,5.0,1.0,0.0,0.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
1.0,7.0,3.0,-1.0,0.0,204,training,,
2.0,7.0,3.0,0.0,1.0,204,training,,
2.0,5.0,1.0,0.0,0.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
1.0,7.0,3.0,-1.0,0.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
2.0,7.0,3.0,0.0,1.0,204,training,,
2.0,7.0,3.0,-1.0,0.0,204,training,,
2.0,8.0,4.0,-0.1,0.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
1.0,6.0,2.0,0.1,1.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
1.0,7.0,3.0,-1.0,0.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
2.0,7.0,3.0,-1.0,0.0,204,training,,
2.0,5.0,1.0,0.0,0.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
2.0,7.0,3.0,0.0,1.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
2.0,7.0,3.0,0.0,1.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
1.0,6.0,2.0,0.1,1.0,204,training,,
2.0,8.0,4.0,-0.1,0.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
1.0,6.0,2.0,0.1,1.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
2.0,7.0,3.0,-1.0,0.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
1.0,7.0,3.0,-1.0,0.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
2.0,7.0,3.0,0.0,1.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
2.0,5.0,1.0,0.0,0.0,204,training,,
2.0,8.0,4.0,-0.1,0.0,204,training,,
2.0,7.0,3.0,0.0,1.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
2.0,7.0,3.0,-1.0,0.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
1.0,6.0,2.0,0.1,1.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
2.0,7.0,3.0,0.0,1.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
2.0,5.0,1.0,0.0,0.0,204,training,,
2.0,5.0,1.0,1.0,1.0,204,training,,
2.0,8.0,4.0,0.0,1.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
2.0,8.0,4.0,-0.1,0.0,204,training,,
2.0,7.0,3.0,0.0,1.0,204,training,,
1.0,7.0,3.0,-1.0,0.0,204,training,,
1.0,6.0,2.0,0.0,0.0,204,training,,
1.0,2.0,2.0,0.0,0.0,205,training,,
1.0,1.0,1.0,0.0,0.0,205,training,,
2.0,4.0,4.0,0.0,1.0,205,training,,
2.0,2.0,2.0,0.0,0.0,205,training,,
1.0,2.0,2.0,0.0,0.0,205,training,,
1.0,3.0,3.0,-1.0,0.0,205,training,,
1.0,4.0,4.0,-0.1,0.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
1.0,4.0,4.0,0.0,1.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
2.0,2.0,2.0,0.1,1.0,205,training,,
1.0,4.0,4.0,-0.1,0.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
2.0,3.0,3.0,-1.0,0.0,205,training,,
1.0,2.0,2.0,0.0,0.0,205,training,,
1.0,4.0,4.0,0.0,1.0,205,training,,
1.0,3.0,3.0,-1.0,0.0,205,training,,
2.0,4.0,4.0,-0.1,0.0,205,training,,
1.0,4.0,4.0,-0.1,0.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
2.0,2.0,2.0,0.0,0.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
1.0,2.0,2.0,0.0,0.0,205,training,,
2.0,1.0,1.0,0.0,0.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
2.0,4.0,4.0,0.0,1.0,205,training,,
2.0,2.0,2.0,0.1,1.0,205,training,,
1.0,4.0,4.0,0.0,1.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
2.0,2.0,2.0,0.1,1.0,205,training,,
2.0,4.0,4.0,0.0,1.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
1.0,4.0,4.0,-0.1,0.0,205,training,,
2.0,2.0,2.0,0.0,0.0,205,training,,
2.0,4.0,4.0,-0.1,0.0,205,training,,
2.0,2.0,2.0,0.1,1.0,205,training,,
2.0,1.0,1.0,0.0,0.0,205,training,,
2.0,2.0,2.0,0.1,1.0,205,training,,
2.0,3.0,3.0,-1.0,0.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
2.0,2.0,2.0,0.0,0.0,205,training,,
2.0,4.0,4.0,-0.1,0.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
1.0,4.0,4.0,0.0,1.0,205,training,,
2.0,3.0,3.0,-1.0,0.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
1.0,4.0,4.0,-0.1,0.0,205,training,,
1.0,4.0,4.0,-0.1,0.0,205,training,,
2.0,2.0,2.0,0.1,1.0,205,training,,
2.0,2.0,2.0,0.1,1.0,205,training,,
2.0,1.0,1.0,0.0,0.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
2.0,2.0,2.0,0.1,1.0,205,training,,
2.0,2.0,2.0,0.1,1.0,205,training,,
1.0,4.0,4.0,-0.1,0.0,205,training,,
2.0,2.0,2.0,0.1,1.0,205,training,,
2.0,2.0,2.0,0.1,1.0,205,training,,
2.0,4.0,4.0,0.0,1.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
2.0,3.0,3.0,0.0,1.0,205,training,,
2.0,3.0,3.0,-1.0,0.0,205,training,,
2.0,4.0,4.0,0.0,1.0,205,training,,
2.0,1.0,1.0,1.0,1.0,205,training,,
1.0,4.0,4.0,-0.1,0.0,205,training,,
2.0,1.0,1.0,0.0,0.0,205,training,,
2.0,2.0,2.0,0.0,0.0,205,training,,
1.0,8.0,4.0,-0.1,0.0,205,training,,
2.0,6.0,2.0,0.1,1.0,205,training,,
2.0,8.0,4.0,-0.1,0.0,205,training,,
2.0,6.0,2.0,0.1,1.0,205,training,,
2.0,5.0,1.0,1.0,1.0,205,training,,
1.0,7.0,3.0,0.0,1.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
2.0,8.0,4.0,0.0,1.0,205,training,,
2.0,5.0,1.0,1.0,1.0,205,training,,
2.0,7.0,3.0,0.0,1.0,205,training,,
2.0,7.0,3.0,0.0,1.0,205,training,,
2.0,8.0,4.0,0.0,1.0,205,training,,
2.0,5.0,1.0,1.0,1.0,205,training,,
2.0,5.0,1.0,0.0,0.0,205,training,,
1.0,7.0,3.0,-1.0,0.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
2.0,8.0,4.0,0.0,1.0,205,training,,
2.0,8.0,4.0,-0.1,0.0,205,training,,
2.0,7.0,3.0,0.0,1.0,205,training,,
1.0,6.0,2.0,0.1,1.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
2.0,5.0,1.0,1.0,1.0,205,training,,
2.0,5.0,1.0,1.0,1.0,205,training,,
2.0,5.0,1.0,0.0,0.0,205,training,,
2.0,7.0,3.0,0.0,1.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
2.0,7.0,3.0,0.0,1.0,205,training,,
2.0,8.0,4.0,0.0,1.0,205,training,,
2.0,7.0,3.0,-1.0,0.0,205,training,,
1.0,5.0,1.0,0.0,0.0,205,training,,
2.0,8.0,4.0,0.0,1.0,205,training,,
2.0,5.0,1.0,1.0,1.0,205,training,,
2.0,5.0,1.0,1.0,1.0,205,training,,
2.0,7.0,3.0,-1.0,0.0,205,training,,
2.0,5.0,1.0,0.0,0.0,205,training,,
2.0,8.0,4.0,0.0,1.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
2.0,8.0,4.0,0.0,1.0,205,training,,
2.0,5.0,1.0,1.0,1.0,205,training,,
2.0,7.0,3.0,0.0,1.0,205,training,,
1.0,6.0,2.0,0.1,1.0,205,training,,
2.0,7.0,3.0,0.0,1.0,205,training,,
2.0,8.0,4.0,-0.1,0.0,205,training,,
2.0,8.0,4.0,0.0,1.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
2.0,7.0,3.0,0.0,1.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
2.0,5.0,1.0,0.0,0.0,205,training,,
1.0,7.0,3.0,0.0,1.0,205,training,,
1.0,6.0,2.0,0.1,1.0,205,training,,
1.0,7.0,3.0,-1.0,0.0,205,training,,
1.0,8.0,4.0,0.0,1.0,205,training,,
2.0,5.0,1.0,1.0,1.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
1.0,8.0,4.0,-0.1,0.0,205,training,,
2.0,7.0,3.0,-1.0,0.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
1.0,7.0,3.0,-1.0,0.0,205,training,,
2.0,5.0,1.0,1.0,1.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
2.0,5.0,1.0,1.0,1.0,205,training,,
2.0,8.0,4.0,0.0,1.0,205,training,,
2.0,8.0,4.0,-0.1,0.0,205,training,,
2.0,7.0,3.0,0.0,1.0,205,training,,
2.0,8.0,4.0,0.0,1.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
2.0,5.0,1.0,0.0,0.0,205,training,,
2.0,8.0,4.0,0.0,1.0,205,training,,
2.0,5.0,1.0,1.0,1.0,205,training,,
2.0,5.0,1.0,1.0,1.0,205,training,,
1.0,5.0,1.0,0.0,0.0,205,training,,
1.0,7.0,3.0,-1.0,0.0,205,training,,
2.0,8.0,4.0,0.0,1.0,205,training,,
1.0,6.0,2.0,0.0,0.0,205,training,,
2.0,7.0,3.0,0.0,1.0,205,training,,
1.0,6.0,2.0,0.1,1.0,205,training,,
2.0,7.0,3.0,0.0,1.0,205,training,,
2.0,8.0,4.0,-0.1,0.0,205,training,,
2.0,2.0,2.0,0.1,1.0,206,training,,
2.0,3.0,3.0,-1.0,0.0,206,training,,
2.0,4.0,4.0,0.0,1.0,206,training,,
1.0,1.0,1.0,0.0,0.0,206,training,,
2.0,2.0,2.0,0.0,0.0,206,training,,
1.0,1.0,1.0,0.0,0.0,206,training,,
1.0,3.0,3.0,-1.0,0.0,206,training,,
2.0,2.0,2.0,0.1,1.0,206,training,,
1.0,4.0,4.0,-0.1,0.0,206,training,,
2.0,4.0,4.0,-0.1,0.0,206,training,,
2.0,3.0,3.0,0.0,1.0,206,training,,
1.0,1.0,1.0,0.0,0.0,206,training,,
2.0,1.0,1.0,0.0,0.0,206,training,,
1.0,4.0,4.0,0.0,1.0,206,training,,
1.0,2.0,2.0,0.1,1.0,206,training,,
2.0,3.0,3.0,0.0,1.0,206,training,,
2.0,3.0,3.0,-1.0,0.0,206,training,,
2.0,2.0,2.0,0.1,1.0,206,training,,
1.0,2.0,2.0,0.0,0.0,206,training,,
1.0,1.0,1.0,0.0,0.0,206,training,,
2.0,1.0,1.0,1.0,1.0,206,training,,
1.0,3.0,3.0,-1.0,0.0,206,training,,
1.0,1.0,1.0,0.0,0.0,206,training,,
1.0,2.0,2.0,0.1,1.0,206,training,,
2.0,1.0,1.0,0.0,0.0,206,training,,
1.0,3.0,3.0,0.0,1.0,206,training,,
2.0,3.0,3.0,0.0,1.0,206,training,,
1.0,4.0,4.0,-0.1,0.0,206,training,,
2.0,4.0,4.0,0.0,1.0,206,training,,
1.0,4.0,4.0,-0.1,0.0,206,training,,
1.0,2.0,2.0,0.0,0.0,206,training,,
2.0,4.0,4.0,-0.1,0.0,206,training,,
2.0,3.0,3.0,0.0,1.0,206,training,,
1.0,2.0,2.0,0.0,0.0,206,training,,
1.0,4.0,4.0,-0.1,0.0,206,training,,
2.0,1.0,1.0,1.0,1.0,206,training,,
2.0,4.0,4.0,0.0,1.0,206,training,,
1.0,2.0,2.0,0.1,1.0,206,training,,
2.0,1.0,1.0,1.0,1.0,206,training,,
2.0,3.0,3.0,0.0,1.0,206,training,,
2.0,2.0,2.0,0.0,0.0,206,training,,
1.0,3.0,3.0,-1.0,0.0,206,training,,
2.0,2.0,2.0,0.1,1.0,206,training,,
2.0,3.0,3.0,0.0,1.0,206,training,,
2.0,4.0,4.0,0.0,1.0,206,training,,
2.0,1.0,1.0,1.0,1.0,206,training,,
2.0,4.0,4.0,-0.1,0.0,206,training,,
2.0,1.0,1.0,0.0,0.0,206,training,,
2.0,2.0,2.0,0.1,1.0,206,training,,
2.0,1.0,1.0,1.0,1.0,206,training,,
1.0,4.0,4.0,-0.1,0.0,206,training,,
2.0,3.0,3.0,0.0,1.0,206,training,,
1.0,4.0,4.0,-0.1,0.0,206,training,,
2.0,1.0,1.0,1.0,1.0,206,training,,
2.0,4.0,4.0,0.0,1.0,206,training,,
2.0,2.0,2.0,0.1,1.0,206,training,,
1.0,3.0,3.0,-1.0,0.0,206,training,,
1.0,1.0,1.0,1.0,1.0,206,training,,
2.0,4.0,4.0,0.0,1.0,206,training,,
2.0,3.0,3.0,0.0,1.0,206,training,,
2.0,1.0,1.0,0.0,0.0,206,training,,
1.0,3.0,3.0,0.0,1.0,206,training,,
2.0,2.0,2.0,0.1,1.0,206,training,,
2.0,2.0,2.0,0.0,0.0,206,training,,
2.0,2.0,2.0,0.1,1.0,206,training,,
2.0,3.0,3.0,0.0,1.0,206,training,,
2.0,3.0,3.0,0.0,1.0,206,training,,
2.0,3.0,3.0,-1.0,0.0,206,training,,
1.0,4.0,4.0,0.0,1.0,206,training,,
2.0,3.0,3.0,0.0,1.0,206,training,,
2.0,2.0,2.0,0.1,1.0,206,training,,
2.0,1.0,1.0,1.0,1.0,206,training,,
2.0,1.0,1.0,1.0,1.0,206,training,,
2.0,4.0,4.0,0.0,1.0,206,training,,
2.0,4.0,4.0,0.0,1.0,206,training,,
1.0,1.0,1.0,1.0,1.0,206,training,,
2.0,2.0,2.0,0.1,1.0,206,training,,
2.0,4.0,4.0,-0.1,0.0,206,training,,
1.0,1.0,1.0,0.0,0.0,206,training,,
1.0,2.0,2.0,0.0,0.0,206,training,,
1.0,8.0,4.0,-0.1,0.0,206,training,,
1.0,5.0,1.0,0.0,0.0,206,training,,
1.0,7.0,3.0,0.0,1.0,206,training,,
1.0,7.0,3.0,-1.0,0.0,206,training,,
2.0,5.0,1.0,1.0,1.0,206,training,,
1.0,8.0,4.0,-0.1,0.0,206,training,,
2.0,5.0,1.0,1.0,1.0,206,training,,
2.0,7.0,3.0,-1.0,0.0,206,training,,
2.0,6.0,2.0,0.1,1.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
2.0,5.0,1.0,0.0,0.0,206,training,,
2.0,8.0,4.0,-0.1,0.0,206,training,,
2.0,6.0,2.0,0.1,1.0,206,training,,
1.0,7.0,3.0,-1.0,0.0,206,training,,
1.0,8.0,4.0,0.0,1.0,206,training,,
1.0,8.0,4.0,0.0,1.0,206,training,,
1.0,5.0,1.0,0.0,0.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
1.0,5.0,1.0,0.0,0.0,206,training,,
2.0,6.0,2.0,0.1,1.0,206,training,,
2.0,5.0,1.0,1.0,1.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
2.0,7.0,3.0,0.0,1.0,206,training,,
2.0,7.0,3.0,-1.0,0.0,206,training,,
1.0,8.0,4.0,-0.1,0.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
2.0,8.0,4.0,0.0,1.0,206,training,,
2.0,5.0,1.0,1.0,1.0,206,training,,
1.0,7.0,3.0,-1.0,0.0,206,training,,
1.0,7.0,3.0,-1.0,0.0,206,training,,
1.0,8.0,4.0,-0.1,0.0,206,training,,
2.0,8.0,4.0,0.0,1.0,206,training,,
2.0,8.0,4.0,0.0,1.0,206,training,,
2.0,7.0,3.0,0.0,1.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
2.0,5.0,1.0,1.0,1.0,206,training,,
1.0,7.0,3.0,-1.0,0.0,206,training,,
2.0,5.0,1.0,1.0,1.0,206,training,,
1.0,6.0,2.0,0.1,1.0,206,training,,
1.0,7.0,3.0,0.0,1.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
2.0,8.0,4.0,0.0,1.0,206,training,,
1.0,5.0,1.0,1.0,1.0,206,training,,
2.0,8.0,4.0,-0.1,0.0,206,training,,
1.0,7.0,3.0,-1.0,0.0,206,training,,
1.0,5.0,1.0,0.0,0.0,206,training,,
2.0,7.0,3.0,-1.0,0.0,206,training,,
2.0,8.0,4.0,0.0,1.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
2.0,5.0,1.0,0.0,0.0,206,training,,
2.0,5.0,1.0,1.0,1.0,206,training,,
2.0,8.0,4.0,0.0,1.0,206,training,,
1.0,7.0,3.0,-1.0,0.0,206,training,,
2.0,5.0,1.0,1.0,1.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
2.0,8.0,4.0,-0.1,0.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
2.0,8.0,4.0,0.0,1.0,206,training,,
2.0,7.0,3.0,0.0,1.0,206,training,,
1.0,6.0,2.0,0.1,1.0,206,training,,
2.0,5.0,1.0,1.0,1.0,206,training,,
1.0,7.0,3.0,-1.0,0.0,206,training,,
1.0,7.0,3.0,-1.0,0.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
2.0,7.0,3.0,0.0,1.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
2.0,5.0,1.0,1.0,1.0,206,training,,
1.0,6.0,2.0,0.0,0.0,206,training,,
2.0,5.0,1.0,1.0,1.0,206,training,,
2.0,8.0,4.0,-0.1,0.0,206,training,,
2.0,5.0,1.0,1.0,1.0,206,training,,
1.0,6.0,2.0,0.1,1.0,206,training,,
2.0,7.0,3.0,0.0,1.0,206,training,,
2.0,8.0,4.0,0.0,1.0,206,training,,
2.0,8.0,4.0,0.0,1.0,206,training,,
2.0,5.0,1.0,0.0,0.0,206,training,,
2.0,7.0,3.0,-1.0,0.0,206,training,,
1.0,8.0,4.0,-0.1,0.0,206,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
1.0,4.0,4.0,-0.1,0.0,207,training,,
2.0,3.0,3.0,-1.0,0.0,207,training,,
1.0,3.0,3.0,-1.0,0.0,207,training,,
2.0,4.0,4.0,0.0,1.0,207,training,,
2.0,4.0,4.0,0.0,1.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
1.0,3.0,3.0,-1.0,0.0,207,training,,
1.0,2.0,2.0,0.1,1.0,207,training,,
1.0,2.0,2.0,0.0,0.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
1.0,3.0,3.0,0.0,1.0,207,training,,
1.0,4.0,4.0,-0.1,0.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
2.0,1.0,1.0,0.0,0.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
1.0,3.0,3.0,0.0,1.0,207,training,,
1.0,4.0,4.0,0.0,1.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
1.0,3.0,3.0,-1.0,0.0,207,training,,
1.0,3.0,3.0,-1.0,0.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
2.0,3.0,3.0,0.0,1.0,207,training,,
2.0,1.0,1.0,0.0,0.0,207,training,,
1.0,4.0,4.0,-0.1,0.0,207,training,,
2.0,4.0,4.0,0.0,1.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
2.0,4.0,4.0,0.0,1.0,207,training,,
2.0,2.0,2.0,0.0,0.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
2.0,4.0,4.0,-0.1,0.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
2.0,3.0,3.0,0.0,1.0,207,training,,
2.0,4.0,4.0,0.0,1.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
2.0,4.0,4.0,0.0,1.0,207,training,,
2.0,3.0,3.0,0.0,1.0,207,training,,
2.0,3.0,3.0,0.0,1.0,207,training,,
2.0,1.0,1.0,0.0,0.0,207,training,,
2.0,4.0,4.0,0.0,1.0,207,training,,
2.0,2.0,2.0,0.0,0.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
2.0,3.0,3.0,-1.0,0.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
2.0,2.0,2.0,0.0,0.0,207,training,,
2.0,4.0,4.0,0.0,1.0,207,training,,
2.0,3.0,3.0,0.0,1.0,207,training,,
2.0,4.0,4.0,0.0,1.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
2.0,4.0,4.0,-0.1,0.0,207,training,,
2.0,1.0,1.0,0.0,0.0,207,training,,
2.0,3.0,3.0,0.0,1.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
2.0,3.0,3.0,0.0,1.0,207,training,,
2.0,4.0,4.0,0.0,1.0,207,training,,
2.0,3.0,3.0,-1.0,0.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
2.0,1.0,1.0,0.0,0.0,207,training,,
2.0,3.0,3.0,0.0,1.0,207,training,,
2.0,3.0,3.0,-1.0,0.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
2.0,4.0,4.0,0.0,1.0,207,training,,
2.0,2.0,2.0,0.1,1.0,207,training,,
2.0,2.0,2.0,0.0,0.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
2.0,1.0,1.0,1.0,1.0,207,training,,
2.0,4.0,4.0,-0.1,0.0,207,training,,
2.0,4.0,4.0,0.0,1.0,207,training,,
2.0,4.0,4.0,0.0,1.0,207,training,,
2.0,3.0,3.0,0.0,1.0,207,training,,
2.0,3.0,3.0,0.0,1.0,207,training,,
2.0,8.0,4.0,0.0,1.0,207,training,,
2.0,6.0,2.0,0.0,0.0,207,training,,
2.0,6.0,2.0,0.1,1.0,207,training,,
2.0,7.0,3.0,-1.0,0.0,207,training,,
1.0,5.0,1.0,0.0,0.0,207,training,,
2.0,6.0,2.0,0.1,1.0,207,training,,
1.0,7.0,3.0,-1.0,0.0,207,training,,
1.0,8.0,4.0,-0.1,0.0,207,training,,
2.0,5.0,1.0,1.0,1.0,207,training,,
2.0,7.0,3.0,0.0,1.0,207,training,,
1.0,6.0,2.0,0.1,1.0,207,training,,
2.0,5.0,1.0,1.0,1.0,207,training,,
2.0,8.0,4.0,0.0,1.0,207,training,,
2.0,5.0,1.0,0.0,0.0,207,training,,
1.0,7.0,3.0,0.0,1.0,207,training,,
1.0,8.0,4.0,-0.1,0.0,207,training,,
2.0,5.0,1.0,1.0,1.0,207,training,,
2.0,5.0,1.0,0.0,0.0,207,training,,
1.0,8.0,4.0,0.0,1.0,207,training,,
2.0,5.0,1.0,1.0,1.0,207,training,,
1.0,6.0,2.0,0.0,0.0,207,training,,
1.0,8.0,4.0,-0.1,0.0,207,training,,
1.0,7.0,3.0,-1.0,0.0,207,training,,
2.0,8.0,4.0,0.0,1.0,207,training,,
